RBr,Broj lokacija,d_Ortools,T_Ortools,S_ortools_distance,Sim_total,d_SOM,T_som
1,10,1647,0.1,1647,0.15,1647,0.1,1153,6.26
2,20,2158,0.11,2158,0.14,2158,0.12,2043,7.52
3,30,2444,0.12,2527,0.16,2527,0.13,2451,8.22
4,40,2552,0.17,2727,0.14,2727,0.14,2661,8.74
5,50,2735,0.16,2735,0.15,2735,0.18,3054,9.18
6,60,3326,0.2,3232,0.16,3232,0.18,3210,9.6
7,70,3520,0.23,3552,0.26,3552,0.25,3237,10.19
8,80,3787,0.27,4026,0.25,4026,0.28,3410,10.36
9,90,3827,0.3,3801,0.31,3801,0.34,3519,10.56
10,100,4065,0.38,4102,0.34,4102,0.34,3810,10.83
11,200,5481,1.15,5421,1.0,5421,0.98,5163,13.28
12,300,6801,3.04,6774,1.37,6774,1.41,6487,15.4
13,400,7622,3.83,7599,3.19,7599,3.18,7787,17.3
14,500,8630,7.19,8454,6.58,8454,6.66,8829,19.2
15,600,9300,14.86,9230,8.04,9230,8.09,9539,21.24
16,700,9905,16.84,9948,15.54,9948,15.94,10350,22.95
17,800,10392,25.11,10425,18.52,10425,18.74,11091,26.26
18,900,11118,36.19,11069,23.09,11069,23.21,11789,28.15
19,1000,11783,43.18,11589,30.98,11589,30.47,12456,29.99
20,1500,14289,89.13,14279,94.77,14279,95.3,15606,39.87
21,2000,16400,211.22,16427,141.15,16427,141.3,17986,49.83
22,2500,18325,409.73,18308,251.14,18308,251.96,20195,60.39
RBr,Problem_size,[D]Global_alg,[T]Global_alg,[D] Christofides,[T] Christofides,[D]SimAnnealing,[T]SimAnnealing,[D]SOM,[T]SOM
1,10,1647,0.1,1647,0.15,1647,0.11,1153,6.37
2,20,2158,0.12,2158,0.14,2158,0.12,1973,7.55
3,30,2444,0.12,2527,0.15,2527,0.13,2340,8.32
4,40,2552,0.17,2727,0.14,2727,0.14,2684,8.84
5,50,2735,0.16,2735,0.16,2735,0.18,3023,9.35
6,60,3326,0.2,3232,0.17,3232,0.17,3233,9.62
7,70,3520,0.23,3552,0.26,3552,0.24,3405,10.11
8,80,3787,0.27,4026,0.25,4026,0.27,3379,10.38
9,90,3827,0.29,3801,0.31,3801,0.33,3609,10.74
10,100,4065,0.38,4102,0.34,4102,0.34,3749,10.96
11,200,5481,1.19,5421,1.04,5421,0.98,5116,14.23
12,300,6801,3.31,6774,1.5,6774,1.51,6350,16.31
RBr,Problem_size,[D]Global_alg,[T]Global_alg,[D] Christofides,[T] Christofides,[D]SimAnnealing,[T]SimAnnealing,[D]SOM,[T]SOM
1,10,1647,0.1,1647,0.15,1647,0.1,1141,6.43
2,20,2158,0.12,2158,0.15,2158,0.11,2029,7.6
3,30,2444,0.13,2527,0.16,2527,0.13,2340,8.37
4,40,2552,0.17,2727,0.14,2727,0.14,2773,8.98
5,50,2735,0.16,2735,0.15,2735,0.19,3143,9.35
6,60,3326,0.22,3232,0.17,3232,0.17,3298,9.76
7,70,3520,0.23,3552,0.27,3552,0.24,3400,10.27
8,80,3787,0.28,4026,0.25,4026,0.29,3410,10.5
9,90,3827,0.3,3801,0.31,3801,0.33,3525,10.78
10,100,4065,0.39,4102,0.34,4102,0.34,3733,11.09
11,200,5481,1.17,5421,1.02,5421,1.0,5175,13.5
12,300,6801,3.06,6774,1.41,6774,1.41,6620,15.65
13,400,7622,3.85,7599,3.24,7599,3.21,7712,17.56
14,500,0,3.94,8454,6.68,8454,6.85,8655,19.49
15,600,9300,14.94,9230,8.28,9230,8.24,9667,21.5
